,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2024-06-26,4,1,0.0,0.9999999994548123,5.451877836355547e-10,1.4844587741538098e-27,0.0,0.0
2024-06-27,4,1,0.0,0.9999999999999953,1.7186960156515527e-18,4.664712170266473e-15,0.0,0.0
2024-06-28,4,1,0.0,0.9999999963999123,3.549727568885206e-09,5.0360093935640615e-11,0.0,0.0
2024-07-01,4,1,0.0,0.9999999999995437,0.0,4.563954806755672e-13,0.0,0.0
2024-07-02,4,1,0.0,0.9999999999487491,7.541496128100227e-36,5.1250941587328774e-11,0.0,0.0
2024-07-03,5,1,0.0,1.0,0.0,1.0028923834522578e-46,0.0,0.0
2024-07-05,5,1,0.0,1.0,0.0,1.1877062886547537e-46,0.0,0.0
2024-07-08,5,1,0.0,0.9999999506303794,4.936962059014933e-08,4.33457663248232e-31,0.0,0.0
2024-07-09,5,1,0.0,1.0,0.0,8.762736759088785e-44,0.0,0.0
2024-07-10,5,1,0.0,1.0,9.126463600205962e-18,3.659117874715412e-54,0.0,0.0
2024-07-11,6,1,0.0,0.9999999999999993,0.0,6.173236593676752e-16,0.0,0.0
2024-07-12,6,1,0.0,0.9999999974884153,2.5115847905512648e-09,5.577148163347171e-46,0.0,0.0
2024-07-15,6,1,0.0,0.9999999999999998,0.0,1.2860509944965644e-16,0.0,0.0
2024-07-16,6,1,0.0,1.0,3.4587668804578873e-85,3.678072210540271e-35,0.0,0.0
2024-07-17,6,1,0.0,0.9999999985243917,1.4756083134801045e-09,1.0714406747857799e-22,0.0,0.0
2024-07-18,6,1,0.0,1.0,0.0,1.0595416725440533e-35,0.0,0.0
2024-07-19,6,1,0.0,0.9999999999448994,5.510058256329522e-11,7.282161180508674e-21,0.0,0.0
2024-07-22,6,1,0.0,0.9999999982038079,1.7961921770542715e-09,1.817405523000966e-24,0.0,0.0
2024-07-23,6,1,0.0,0.9999999418639886,5.81360114192353e-08,6.484731190520817e-103,0.0,0.0
2024-07-24,6,1,0.0,0.9999999999999962,5.397973144468091e-21,3.838485956829086e-15,0.0,0.0
