,SPX,BOND,GOLD,OIL,USD
2015-08-31,0.0,9.955772989381676e-17,0.6152770847228198,2.3846536936438388e-17,0.38472291527718006
2015-09-01,8.931990369517731e-19,9.756588797898504e-17,0.5493910009224781,0.06588608380034183,0.38472291527717994
2015-09-02,8.931990369517733e-19,9.756588797898505e-17,0.5493910009224782,0.06588608380034185,0.38472291527718
2015-09-03,5.430543460228414e-18,0.06588608380034183,0.5493910009224782,0.0,0.38472291527718
2015-09-04,0.22235480653689138,0.06588608380034183,0.5493910009224782,6.938893903907228e-18,0.1623681087402886
2015-09-08,0.22235480653689138,0.06588608380034183,0.5493910009224782,6.938893903907228e-18,0.1623681087402886
2015-09-09,0.22235480653689138,0.06588608380034183,0.5493910009224782,6.938893903907228e-18,0.1623681087402886
2015-09-10,0.6229964968352886,0.06588608380034183,0.14874931062408092,7.806255641895632e-18,0.16236810874028862
2015-09-11,0.6229964968352886,0.06588608380034183,0.14874931062408092,7.806255641895632e-18,0.16236810874028862
2015-09-14,0.057980172471520305,0.06588608380034174,0.7137656349878495,0.0,0.16236810874028856
2015-09-15,0.05798017247152029,0.06588608380034172,0.7137656349878494,0.0,0.16236810874028854
2015-09-16,0.0579801724715203,0.06588608380034174,0.7137656349878495,0.0,0.16236810874028856
2015-09-17,0.0,0.06588608380034174,0.7137656349878495,1.3010426069826053e-18,0.22034828121180877
2015-09-18,1.6978552735077403e-17,0.5878110516895276,0.1918406670986636,2.7980996390206024e-17,0.2203482812118088
2015-09-21,1.6978552735077403e-17,0.5878110516895276,0.1918406670986636,2.7980996390206024e-17,0.2203482812118088
2015-09-22,0.05589627173124509,0.5878110516895277,0.19184066709866363,1.9959599452651403e-17,0.16445200948056365
2015-09-23,0.055896271731245076,0.5878110516895276,0.19184066709866357,1.99595994526514e-17,0.16445200948056363
2015-09-24,0.05589627173124507,0.2934808141340619,0.19184066709866357,0.45878224703602954,1.0455676554622624e-18
2015-09-25,0.05589627173124507,0.29348081413406196,0.650622914134693,2.402581263522841e-17,0.0
2015-09-28,0.05589627173124505,0.15876771230814027,0.650622914134693,0.13471310182592172,0.0
2015-09-29,0.33550012438089116,0.15876771230814027,0.5057321633109686,6.135869007342886e-18,3.692721070593121e-17
2015-09-30,0.33550012438089116,0.15876771230814027,0.5057321633109686,6.135869007342886e-18,3.692721070593121e-17
2015-10-01,0.33550012438089116,0.15876771230814027,0.5057321633109686,6.135869007342886e-18,3.692721070593121e-17
2015-10-02,0.33550012438089116,0.05175744416919577,0.5057321633109686,0.10701026813894454,6.731952046968568e-20
2015-10-05,0.33550012438089116,0.1587677123081403,0.5057321633109686,2.6254635950139103e-17,1.734723475976807e-17
